text,timestamp,time_display,likes,retweets,replies,scraped_at
"“三波理论”的底层逻辑是什么？
为什么无论在上涨还是下跌的趋势中，庄家都非要做足3次戏，直到第3次才暴露真实意图？

一句话总结：为达目的，不断地试探市场的容忍度和底线

第1波：“今晚能抱着你睡吗？保证不碰你”
第2波：“宝贝我可以亲你一下吗”
第3波：“我就蹭蹭，不进去”

三波过后",2025-06-01T22:42:47.000Z,6月2日,2948,235,168,2025-10-01T13:28:44.960458
"这次凉兮终于说得完全正确了
Hyperliquid合约巨鲸James确实就是和Hype平台进行“撮合”的托

他倒不是故意亏损，只是输赢都无所谓
40倍杠杆随便开，反正是同一个口袋的钱

就像xxx合约交易大赛，参赛选手都是弄2个账户多空双开，事后哪个账户胜率高就用哪个宣传，一模一样的",2025-05-30T06:14:18.000Z,5月30日,390,25,39,2025-10-01T13:29:15.821645
"你：怎么样能赚到100万？
我：你想去踩缝纫机啊？
你：哪里这么好啊，踩缝纫机能赚100万？！",2025-04-29T08:49:24.000Z,4月29日,828,134,37,2025-10-01T13:28:59.669398
"你月入1w的时候，上海就是上海
你月入10w的时候，上海是繁华的十里洋场
你月入100w的时候，上海才是纸醉金迷的魔都

（视频为本人喜欢的上海女孩）",2025-03-20T09:49:35.000Z,3月20日,311,24,29,2025-10-01T13:29:29.875685
"都说散户越来越难赚钱
我倒觉得不一定是散户自己的问题
而是这个环境在抑制散户的认知

3月1号
我给大家做了USDT的政策基本面的提示
紧接着第二天
欧美那边的USDT在市场间极速移动，就导致了行情异动

没想到排山倒海一大堆人喊“牛回”，“加仓”，“伟大的川普”……

唉，这和川普有屁关系",2025-03-11T12:39:28.000Z,3月11日,3267,294,41,2025-10-01T13:28:44.929315
"用传统二级的炒法干链上pvp
如何对普通p小将进行降维打击

你开3个TradingView指标，都是免费可用的

1.筹码分布 (看筹码)
2.前两天刚刚讲的净流出 (看流入流出)
3.量价趋势指标 (看价位博弈强度)

pvp重点最关注的就是资金和筹码

- 形态类的指标
- 滞后性的指标
- 统计性的指标",2025-01-23T17:35:52.000Z,1月24日,223,66,9,2025-10-01T13:30:16.820699
"观察了一圈
昨天舔川普的，和今天骂Trump的，是同一批人

不要把运气当成实力

盈亏同源",2025-01-20T03:57:20.000Z,1月20日,521,17,14,2025-10-01T13:28:59.755639
爆发你妈,2024-12-27T01:46:27.000Z,2024年12月27日,513,17,17,2025-10-01T13:28:59.818934
中文 $CLANKER 吃满第一人,2024-11-27T15:02:26.000Z,2024年11月27日,812,55,31,2025-10-01T13:28:59.641063
"怎么中文推特都在挺特朗普会赢啊？
只有我一个人知道哈里斯会赢？",2024-11-06T02:19:31.000Z,2024年11月6日,274,26,209,2025-10-01T13:29:29.903860
"想不到吧，《华尔街之狼》上映距今已经11年了

小李子的交易导师在电影里说，做交易成功的必备动作—— 撸管

很多人和我一样，第一次看到这个情节时，就是一笑了之
后来我认真阅读了很多生物学的文献，恍然大悟。

男人一旦性高潮之后，会进入贤者模式。",2024-11-02T16:02:44.000Z,2024年11月3日,1391,284,106,2025-10-01T13:28:59.565001
街头采访新加坡Token2049中99.99%的基金和项目方 ,2024-09-18T16:49:31.000Z,2024年9月19日,319,34,55,2025-10-01T13:29:29.670569
"所有男人在走向成熟之前，都会遇到这样一个女孩子：
她长得漂亮，说话好听，会照顾你的所有情绪，让你日思夜想，魂牵梦绕

当你问她：我们什么时候能在一起？
她说：你先给每天我送早餐，带我吃饭/逛街/买包包，晚上开车带我去蹦迪/吃夜宵/点男模。半年后看你表现，考虑要不要答应你",2024-09-15T06:02:22.000Z,2024年9月15日,275,79,32,2025-10-01T13:29:45.049126
"Jump一旦倒下，下一个就轮到Wintermute了

一鲸落，万物生
两鲸落，寸草不生",2024-08-06T18:14:22.000Z,2024年8月7日,1684,149,154,2025-10-01T13:28:45.017730
"当你接近回本时，反弹戛然而止；
当你获利出局时，利好横空出世；
当你自鸣得意时，暴跌不期而遇；
当你身无分文时，暴涨遍地开花。",2024-08-01T16:28:52.000Z,2024年8月2日,504,31,22,2025-10-01T13:28:59.787933
"我的读者认知都太高了。

他们绝不会问出那些愚蠢且毫无意义的问题
比如“德国政府的比特币卖完了，怎么看”

最近工作真是太忙了都没空写推，我司投资/服务的项目方们都在准备迎接下一波行情

大家周末有什么想交流的",2024-07-13T09:08:06.000Z,2024年7月13日,13944,1228,633,2025-10-01T13:28:44.898829
"比特币疯狂上涨几万倍的那些年，是什么时候？
所有人都说比特币是骗局的时候

比特币在4万～7万之间停滞不前的近2年，是什么时候？
所有人都说比特币是价值投资的时候

一个残酷的真相：
可那些年，比特币没有骗过、套过、辜负过任何持有过它的人",2024-07-07T17:28:01.000Z,2024年7月8日,144,3,11,2025-10-01T13:30:16.789947
"把我的推特看作一个币
我就是这个币的庄家，画K线的人

关注了，你就是持币者
取关了，你就是出货的人
取关了又关注了，你就是曾经卖飞，现在重新上车的散户
被我拉黑了，就是丢了持币的冷钱包

掌握了这个角度以后，你就会明白很多事

一个币的做市强度会忽高忽低，利好利空会层出不穷",2024-07-07T15:39:54.000Z,2024年7月7日,410,27,18,2025-10-01T13:28:59.877117
"我的学妹跳楼了

1994年的才女+美女，硕士比我小几届，清华的本科

入职中金之后，夫妻两个人工资加起来能有10万
在去年9月房价最高点掏空6个钱包，再贷款1200万买房子，首付很快就跌没了，而且每个月5.6万的房贷还不能断

屋漏偏逢连夜雨",2024-07-04T11:48:34.000Z,2024年7月4日,746,160,290,2025-10-01T13:28:59.698128
"有些人真的就是吃饱了撑的

我
一 不坑害他人，骗他人钱财
二 不割粉丝，不搞收费群
三 不对其他KOL指手画脚，从来不评论其他KOL
四 不妨碍项目方和各位庄家的利益

还有什么好说的",2024-07-03T19:28:27.000Z,2024年7月4日,168,6,12,2025-10-01T13:30:00.801401
"2024区块链高考备忘录 : 赛道大全

#1 PointFi
#2 Pre-market
#3 AI
#4 Meme & MemeFi
#5 Cross-chain Interoperability
#6 Mirror App
#7 Chain Abstraction
#8 On-chain Abstraction Mining / PowFi
#9 Validator & Operator Node
#10 Gaming & GameFi
#11 ServerFi
#12 DePIN
#13 Solana Mining",2024-06-09T09:35:15.000Z,2024年6月9日,231,36,29,2025-10-01T13:29:45.076409
"啧啧啧
刚认识的一个华人项目方的女BD，腿比项目方的命都长",2024-05-07T13:29:36.000Z,2024年5月7日,1738,63,177,2025-10-01T13:28:44.988358
"第一次被公安喊去派出所录口供怎么办？

记住如下2点原则：
 只谈已经发生过的客观事实，不谈任何主观感受

他们问你：入职的时候，你知不知道公司在做犯罪的事情？
你别说我猜可能是吧，或者“应该”不是
你只说：我在boss直聘上看到的是招聘销售，并且我看到了公司正规的营业执照",2024-04-28T12:09:38.000Z,2024年4月28日,384,67,38,2025-10-01T13:29:15.791964
我出身江苏南通的一个小县城，算是一个小镇做题家。高三的时候迷上了写代码，“贪玩没好好学习“，没能保送清北，也没有能像本届其他优秀的同学一样考上清北。由于家庭眼光的局限性，也并没有出国留学，后来由于创业的缘故还辍学了硕士。,2024-04-26T19:32:48.000Z,2024年4月27日,245,12,74,2025-10-01T13:30:00.687782
我只重度参与那些知道创始人家庭住址的项目,2024-04-21T09:36:11.000Z,2024年4月21日,201,17,67,2025-10-01T13:30:16.701079
"大部分人是不明白“盈亏同源”的道理的

会逃顶的一定会卖飞，能拿得住的韭菜迟早会被割到去送外卖

绝不存在这样一个人：
风险意识极强，每次都能逃顶，一看风向不对立刻割肉（永远nice fold）； 
格局又大，每次能hold住历史上的那些神币，一个个死拿到上百倍才卖（永远不被bluff）",2024-04-19T05:21:55.000Z,2024年4月19日,261,48,172,2025-10-01T13:29:29.727312
"就在现在，有一件非常有价值的事值得你去做：

把币安/OKX/Bybit上，在经历了今天凌晨4点的插针行情后，现在价格反弹幅度在15%以上的币，按涨幅倒序粗略排列。
记注，不是和针尖比+15%，而是在插针下探前的价位+15%！

同时，如下3个因素需一并考虑进去：
老币>新币
中市值>大市值>小市值",2024-04-14T15:37:59.000Z,2024年4月14日,484,138,94,2025-10-01T13:28:59.849231
"枪十七铭刻马克杯震撼上线
每个杯壁上均铭刻有世间独一无二的编号，具有 Non-fungible 的特性

本系列杯子的发售规则如下：
1. 每轮限定只售出400个
2. 第一轮发售价为 $170/个
3. 后续每轮售价均会上浮 $170，上不封顶
如：
第401～800个，售价 $170+$170=340
第801～1200个，售价",2024-03-26T01:01:49.000Z,2024年3月26日,327,173,283,2025-10-01T13:29:15.621056
"$BOME 和 $PEPE 有一个相同的核心本质，这个点看不透，下次你依旧抓不住机会。

这两个标的的诞生，都是为了洗钱。

一些共同的特征：

- 初期看不出很强的“坐庄”和绝对“控盘”痕迹
从事洗钱行业的团队的专业性，当然不是普通web3团队可比

- 筹码的分布及其具有迷惑性",2024-03-17T04:25:03.000Z,2024年3月17日,233,57,51,2025-10-01T13:30:00.744657
"为什么你总被烂人和傻逼搞得很烦心？
因为你飞得还不够快。",2024-02-29T10:13:10.000Z,2024年2月29日,213,19,29,2025-10-01T13:29:45.146941
"买域名、NFT、官方跨链桥、添加DEX LP、刷Swap、做各种PUA任务…… 全部反撸

一篇给你讲清楚空投的底层逻辑是啥：

1/ 项目方需要数据
项目方知道自己数据是假的。
甭管数据是真实使用，亦或是刷的，但只要项目方拿出来的“精选”数据，所有人都能认可

2/ 资本需要项目方的数据",2024-02-14T13:19:00.000Z,2024年2月14日,187,30,80,2025-10-01T13:30:16.880769
"中国如今是全世界唯一能和美国掰手腕的国家
在美元潮汐的冲击下，中国自建国以来第一次保持了强硬的对抗立场并不断减持美债

作为一个老党员
我坚决拥护中国共产党和习主席",2024-01-14T17:55:30.000Z,2024年1月15日,196,15,84,2025-10-01T13:30:32.379615
"领先全网的信息编织和理解，每一点你都没见过
现货比特币ETF灵魂问

1）OKX发布ZEN下架公告前，尚有某些“内部人士”提前开好空单，5分钟内狂赚2000%。如果比特币现货ETF通过，相关“内部人士”会先在哪里开好单？

2）身为BTC庄家集团之一的灰度在不久前发表如下观点：“If real interest rates have",2024-01-04T01:19:26.000Z,2024年1月4日,294,38,97,2025-10-01T13:29:29.699293
